movie_id,title,genres,release_date,runtime,popularity,imdb_rating
9909,Dangerous Minds,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",11-08-1995,99,9.481338,6.4
11360,Dumbo,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",22-10-1941,64,14.655879,6.8
819,Sleepers,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",18-10-1996,147,9.198283,7.3
1103,Escape from New York,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",22-05-1981,99,10.124544,6.9
11216,Cinema Paradiso,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17-11-1988,124,14.177005,8.2
11778,The Deer Hunter,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",08-12-1978,183,7.729445,7.8
665,Ben-Hur,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",26-12-1959,212,14.319743,7.5
783,Gandhi,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",30-11-1982,191,12.383755,7.4
6114,Dracula,"[{'id': 10749, 'name': 'Romance'}, {'id': 27, 'name': 'Horror'}]",13-11-1992,128,16.777675,7.1
1598,Cape Fear,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",15-11-1991,128,10.302735,7
152,Star Trek: The Motion Picture,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]",06-12-1979,132,8.277765,6.2
3179,Beavis and Butt-Head Do America,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",15-12-1996,81,8.855685,6.5
1051,The French Connection,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",09-10-1971,104,6.694959,7.4
97,Tron,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",09-07-1982,96,16.574021,6.6
8393,The Gods Must Be Crazy,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",10-09-1980,109,10.973482,7.1
847,Willow,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",01-05-1988,126,9.918312,6.9
8916,Antz,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",02-10-1998,83,16.025625,6
9426,The Fly,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",15-08-1986,96,13.534589,7.1
36819,Time Bandits,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",13-07-1981,116,9.841623,6.6
11072,Blazing Saddles,"[{'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]",07-02-1974,93,13.233262,7.2
710,GoldenEye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",16-11-1995,130,14.686036,6.6
4584,Sense and Sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13-12-1995,136,10.673167,7.2
9603,Clueless,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",19-07-1995,97,9.882383,6.9
807,Se7en,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",22-09-1995,127,18.45743,8.1
629,The Usual Suspects,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",19-07-1995,106,16.302466,8.1
11448,Mighty Aphrodite,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",13-09-1995,95,15.899134,6.7
